title,heading,content,tokens
A185 1966 Festival for Theater and Engineering address list,Q19698,"Note: When placing a call to engineers from New York use the following tie-line numbers
To Holmdel — 581-5620-(extension)
To Murray Hil — 581-3370-(extension)
To Whippany — 243-3100-(give operator extension at Whippany)
New York—243-3100-(extension)",78
A185 1966 Festival for Theater and Engineering address list,Q19699,"Others
69th Armory, 68 Lexington, LE2-6969
Mr. Lutz, Ave N.Y.C.
Gloria Bryant, MH3D-224, X5639
Beva Electronics, 609882-6847, Bill Hartig
Tom Dissinger, Federated Electronics, 376-8900
Eleanore Howard, 130 E. 59th, PL9-1800
Ruder & Finn
Jack Klein, 59 W. 28th, N.Y.C., 686-6938
Frank Konigsberg, 52 E. 66th St., N.Y.C., Off.Ci7-8300, X3705
Howard Marks, 75 E. 55th St., N.Y.C., PL2-7455, 988-9099
C. Pologe, MH3B-231 x5610
R.G.A. Press Co., 424 W. 33rd St. N.Y.C., WI7-8727
Alfonse Schilling, 42 W. 29th St., N.Y.C., MU9-0764
Schweber Electronics Westbury Long Island, 516-ED4-7474
Simone Whitman, 186 Grand St. N.Y.C., 925-9639",276
A185 1966 Festival for Theater and Engineering address list,Q19696,"Artists
John Cage, Stony Point, New York, 914-947-1161
Lucinda Childs, 295 Church Street, N.Y.C. 925-1683
Oyvind Fahlstrom, Kopmangatan 8, Stockholm, 216275
Alex Hay, 27 Howard Street, N.Y.C., 226-5198
Deborah Hay, 27 Howard Street, N.Y.C., 226-5198
Steve Paxton, 381 Lafayette, N.Y.C., 777-3749
Yvonne Rainer, 215 E. 25 Street, N.Y.C., 982-0300
Bob Rauschenberg, 381 Lafayette, N.Y.C., 777-3749
David Tudor, Stony Point, New York, 914-947-1522
Bob Whitman, 186 Grand Street, N.Y.C., 925-9639",200
A185 1966 Festival for Theater and Engineering address list,Q19697,"Engineers (Home number appended at end of string)
Per Biorn, MH2B-317 X6713, 464-6469
Irfan Camlibel, MH2D-357 X2195, 277-4573
Cecil Coker, MH2D-506 X4686, 464-1078
Pete Cumminski, MH2D-506 X4525, WES-1366
Ralph Flynn, HO3F-305 X4593
Ken Harsell, MH2D-508 X2433
Larry Heilos, MH1E-461 X2683, 641-0566
Peter Hirsch, WH2D-212 X3615, 887-4697
Harold Hodges, MH1E-419 X6545, 717-828-4572
Bela Julesz, MH2D-544 X2737
Bill Kaminski, MH1E-359 X4282, 537-2385
Rudy Kerl, MHIE-410 X2799, 297-1476
Bob Kieronski, WH3B-121 X6718, 627-3361
Billy Kluver, MH1E-407 X3656, 322-5683
Cap Lundberg, MH1E-237, X2175, 489-0184
Jim McGee, MH1E-456 X6123, 876-3292
John Pierce, MH1A-218 X2626, 647-3859
Robby Robinson, MHLE-35 X6477, 464-3863
Herb Schneider, MHLE-355 X2093, 647-3330
Tony Trozzolo, MH1A-232 X4692
Fred Waldhauer, HC3F-312 X5020, 741-5244
Stretch Winslow, MH1A-260 X2508, 469-3059
Witt Wittnebert, MH1E-456 X3148, 756-1105
Dick Wolff, MH1E-420 X4128, 377-8576",454
A68 9 Evenings: Theatre & Engineering Program,Q19762,"Robert Rauschenberg and Lucinda Childs discussing the capabilities of the theatre electronic environmental modulator (TEEM)  system  with  Herb Schneider, L. J. Robinson, Per Biorn, and Billy Kluver. This is the first  system  of  its  kind ever developed for theatre use. TEEM is the most ambitious of the technical projects undertaken in connection with 9 Evenings.",83
A68 9 Evenings: Theatre & Engineering Program,Q19763,"PATRONS

Mr. Harry Abrams 
American Flange Co.
Mr. & Mrs. Armand Bartos
Galeria Bonino, Ltd. 
Miss Nina Cullinan 
Virginia Dwan
Mr. Walter Gutman 
Mr.  Philip Johnson
Mr. Leon Kraushar
Mr. John Loeb, Jr.
Midsummer, Inc.
Ralsen-Grocraft-Andors Press Corporation
Mr. Daniel A. Roblin, Jr.
Mr. & Mrs. Robert C. Scull
Mrs. Audrey Sabol
Westinghouse Electric Corporation",129
A68 9 Evenings: Theatre & Engineering Program,Q19766,"CONTRIBUTORS
Mr. Larry Aldrich 
Mrs. Margot Hahn 
Mrs. Lucy Jarvis 
Mrs. Janet Kardon
Mrs. Joan Kron
Mr. & Mrs. Horace Solomon 
Mrs. Emily Staempfli
Mr & Mrs. Paul Tishman",64
A68 9 Evenings: Theatre & Engineering Program,Q19767,"by: John Cage
performance engineer: Cecil Coker
performers: David Tudor

variations	VII

David Behrman Antony Gnazzo Lowell Cross

grateful acknowledgement is made for the cooperation of:
Merce Cunningham Dance Foundation Luchow's Restaurant
A. S.P.C.A.
The New York Times The City of N. Y. Terry Riley
Robert Wood Richard Hennessy Rubin Gorowitz

My project is simple to describe. It is a piece of music, Variation VII, indeter­minate in form and detail, making use of the sound sys­tem which has been devised collectively for this festival, further making use of modu­lation means organized by David Tudor, using as sound sources only those sounds which are in the air at the moment of performance, picked up via the communi­cation bands, telephone lines, microphones, together with, instead of musical in­struments, a variety of household appliances and frequency generators.
The technical problems involved in any single project tend to reduce the impact of the original idea, but in being solved they produce a situation different than anyone could have pre-imagined.",248
A68 9 Evenings: Theatre & Engineering Program,Q19764,"SPONSORS

Mr.	Lester  Avnet
Mr. & Mrs. Victor W. Ganz 
Albert  A.  List  Foundation 
Mr. & Mrs. John de Menil 
Schweber Electronics
Mr.  Roger  L.  Stevens 
Marie Christophe Thurman",68
A68 9 Evenings: Theatre & Engineering Program,Q19765,"9 evenings: theatre & engineering
Presented under the auspices of
THE FOUNDATION	FOR CONTEMPORARY	PERFORMANCE ARTS, INC.
In cooperation with
EXPERIMENTS IN ART AND TECHNOLOGY, INC.",53
